pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
HD 95089,b,149.03,19.67,251.412506,52.943472,1.510000,0.050000,-0.050000,381.38000,31.78170,-31.78170,,,,1.20000,0.10000,-0.10000,,,
HD 96063,b,132.80,16.39,257.778448,50.760624,0.990000,,,290.00000,0.00000,0.00000,,,,0.90000,,,,,
HD 96127,b,221.24,,166.965638,62.735597,1.400000,,,1300.00000,0.00000,0.00000,,,,4.00000,,,,,
HD 96167,b,84.03,8.22,264.808564,44.578514,1.300000,0.070000,-0.070000,216.11500,57.20700,-57.20700,,,,0.68000,0.18000,-0.18000,,,
HD 96700,b,26.21,0.58,277.732593,27.582260,0.077400,,,9.02600,0.00000,0.00000,,,,0.02840,,,,,
HD 96700,c,26.21,0.58,277.732593,27.582260,0.422000,,,13.00000,0.00000,0.00000,,,,0.04000,,,,,
HD 97658,b,21.30,0.43,211.161966,68.295399,0.083100,0.001100,-0.001100,8.26323,1.27127,-1.27127,,,,0.02600,0.00400,-0.00400,,,
HD 98219,b,150.38,18.62,276.920577,34.122772,1.230000,,,572.00000,0.00000,0.00000,,,,1.80000,,,,,
HIP 55409,b,42.77,1.75,277.305382,35.107211,,,,2225.00000,,,,,,7.00089,,,,,
HD 99109,b,60.46,4.44,263.238611,54.484037,1.105000,0.065000,-0.065000,159.54394,22.24716,-22.24716,,,,0.50200,0.07000,-0.07000,,,
HD 99492,b,17.99,1.01,259.279563,58.508400,0.121860,0.000020,-0.000020,27.65000,1.90690,-1.90690,,,,0.08700,0.00600,-0.00600,,,
HD 99492,c,17.99,1.01,259.279563,58.508400,5.400000,0.500000,-0.500000,114.41400,19.06900,-19.06900,,,,0.36000,0.06000,-0.06000,,,
